fault_rate,num_rows,num_cols,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,4,0.2,8884.754991,9235.362998,551.0,427.0
0.0,4,4,0.2,9708.539604,9395.833333,808.0,504.0
0.0,4,4,0.2,9604.166667,9314.96063,792.0,508.0
0.0,4,4,0.2,8743.639922,9029.333333,511.0,375.0
0.0,4,4,0.2,9193.862275,9065.315315,668.0,444.0
0.0,4,4,0.22,9382.513661,9081.932773,732.0,476.0
0.0,4,4,0.22,10484.848485,9420.761671,1551.0,814.0
0.0,4,4,0.22,9245.941558,9204.009434,616.0,424.0
0.0,4,4,0.22,10686.521253,9600.766703,1788.0,913.0
0.0,4,4,0.22,8860.655738,9152.173913,488.0,368.0
0.0,4,4,0.22,10123.777276,9303.155007,1329.0,729.0
0.0,4,4,0.22,9780.973451,9252.757353,904.0,544.0
0.0,4,4,0.22,8930.191972,9145.882353,573.0,425.0
0.0,4,4,0.22,9130.782918,9175.126904,562.0,394.0
0.0,4,4,0.22,10339.849108,9490.47014,1458.0,787.0
0.0,4,4,0.24,10318.024862,9455.729167,1448.0,768.0
0.0,4,4,0.24,8752.319109,9000.0,539.0,399.0
0.0,4,4,0.24,8867.647059,9069.078947,612.0,456.0
0.0,4,4,0.24,10127.45098,9253.889675,1275.0,707.0
0.0,4,4,0.24,8685.185185,8936.881188,540.0,404.0
0.0,4,4,0.24,9563.953488,9431.034483,688.0,464.0
0.0,4,4,0.24,9512.359551,9136.281588,890.0,554.0
0.0,4,4,0.24,8964.788732,8909.574468,568.0,376.0
0.0,4,4,0.24,10546.105919,9535.077289,1605.0,841.0
0.0,4,4,0.24,9480.05148,9037.924152,777.0,501.0
0.0,4,4,0.26,9540.540541,9296.758105,629.0,401.0
0.0,4,4,0.26,10275.432526,9375.812744,1445.0,769.0
0.0,4,4,0.26,9500.0,9065.352697,770.0,482.0
0.0,4,4,0.26,9916.666667,9306.426332,1086.0,638.0
0.0,4,4,0.26,9449.125596,9378.787879,629.0,429.0
0.0,4,4,0.26,9102.517986,9351.635514,556.0,428.0
0.0,4,4,0.26,9851.817335,9121.621622,1073.0,629.0
0.0,4,4,0.26,8638.888889,9127.118644,450.0,354.0
0.0,4,4,0.26,9215.246637,9291.075051,669.0,493.0
0.0,4,4,0.26,9096.122779,9194.76082,619.0,439.0
0.0,4,4,0.28,10418.819188,9441.176471,1626.0,850.0
0.0,4,4,0.28,9053.003534,9273.255814,566.0,430.0
0.0,4,4,0.28,8796.907216,9119.241192,485.0,369.0
0.0,4,4,0.28,10117.810761,9282.154341,1078.0,622.0
0.0,4,4,0.28,9361.715749,9104.950495,781.0,505.0
0.0,4,4,0.28,8824.267782,9084.745763,478.0,354.0
0.0,4,4,0.28,9840.292276,9301.546392,958.0,582.0
0.0,4,4,0.28,8585.539715,8849.582173,491.0,359.0
0.0,4,4,0.28,9126.94704,9221.518987,642.0,474.0
0.0,4,4,0.28,10569.89887,9368.871152,1681.0,877.0
0.0,4,4,0.3,9171.009772,9200.0,614.0,430.0
0.0,4,4,0.3,8934.513274,9315.789474,565.0,437.0
0.0,4,4,0.3,9694.591029,9316.733068,758.0,502.0
0.0,4,4,0.3,9821.83908,9384.030418,870.0,526.0
0.0,4,4,0.3,9341.18541,9246.636771,658.0,446.0
0.0,4,4,0.3,10308.092949,9452.205882,1248.0,680.0
0.0,4,4,0.3,8572.043011,9101.876676,465.0,373.0
0.0,4,4,0.3,10260.652463,9374.688279,1502.0,802.0
0.0,4,4,0.3,9708.530806,9249.015748,844.0,508.0
0.0,4,4,0.3,9839.876033,9260.416667,968.0,576.0
0.0,4,4,0.32,10461.759082,9404.528764,1569.0,817.0
0.0,4,4,0.32,9243.713733,9168.555241,517.0,353.0
